year,weight,gender,race1R,hispanic,ethnic1R,age,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2010,3423.81659,2,3,2,3,5,1,88,1,1,3,3,2,2,0,1,4,2,0,0,2,3
2010,3801.8654,1,1,1,4,5,1,88,5,2,1,4,1,2,0,1,4,2,0,0,2,1
2010,3801.8654,1,1,1,4,5,1,88,5,2,1,4,2,1,3,1,3,1,0,0,2,3
2010,2144.60541,2,1,2,1,5,5,4,1,2,1,1,1,2,0,1,4,2,0,0,1,1
2010,1945.24282,2,1,2,1,6,4,5,3,3,1,4,1,3,5,1,4,2,0,0,2,1
2010,4520.62172,1,1,1,4,3,1,6,1,2,2,4,2,2,0,1,4,2,0,0,2,5
2010,1398.35864,1,2,2,2,8,4,1,4,3,1,3,2,2,0,1,4,2,0,0,2,1
2010,1979.20491,1,1,2,1,7,4,88,0,3,3,4,2,2,0,1,4,2,0,0,2,3
2010,3499.13576,2,1,2,1,7,4,1,2,2,1,5,2,3,5,2,5,3,0,0,2,1
2010,3499.13576,2,1,2,1,7,4,1,2,2,1,2,2,2,0,2,5,3,0,0,2,1
2010,3820.0343,1,1,2,1,6,1,88,5,2,1,3,1,1,2,1,3,1,0,0,2,3
2010,4534.88581,2,3,2,3,4,1,2,1,2,1,1,1,2,0,1,4,2,1,1,2,1
2010,2117.26929,2,3,2,3,6,2,88,1,2,1,4,2,3,5,1,4,2,0,0,2,4
2010,4759.5592,1,1,2,1,2,1,3,0,2,2,3,1,2,0,1,4,2,1,1,2,1
2010,3396.2173,1,1,1,4,6,2,5,5,2,1,4,1,1,1,1,2,1,0,0,2,3
2010,3123.79257,1,1,2,1,8,2,88,5,2,1,4,2,1,1,1,2,1,0,0,2,3
2010,3133.32052,1,1,1,4,4,5,4,1,4,3,4,2,2,0,1,4,2,0,0,2,1
2010,2140.59562,1,1,2,1,6,2,7,0,3,2,4,2,2,0,1,4,2,0,0,2,3
2010,2140.59562,1,1,2,1,6,2,7,0,3,2,4,1,2,0,1,4,2,0,0,2,3
2010,2140.59562,1,1,2,1,6,2,7,0,3,2,4,1,1,2,1,3,1,0,0,2,3
2010,3129.38627,2,1,2,1,5,4,3,1,4,3,3,2,2,0,1,2,1,0,0,2,1
2010,2442.23645,2,2,2,2,6,1,3,1,2,2,5,2,2,0,1,4,2,0,0,2,1
2010,2442.23645,2,2,2,2,6,1,3,1,2,2,5,2,2,0,1,4,2,0,0,2,1
2010,2442.23645,2,2,2,2,6,1,3,1,2,2,4,2,2,0,1,4,2,0,0,2,1
2010,3415.09156,1,1,2,1,4,1,7,2,2,1,3,1,2,0,1,2,1,1,2,2,3
2010,2899.99609,1,2,1,4,6,5,88,1,2,2,1,2,2,0,1,4,2,0,0,2,2
2010,2106.22903,1,1,2,1,6,2,6,1,3,2,3,2,2,0,1,4,2,0,0,2,1
2010,2106.22903,1,1,2,1,6,2,6,1,3,2,3,2,2,0,1,4,2,0,0,2,1
2010,2897.04417,1,1,2,1,3,1,7,2,2,1,6,1,3,5,2,5,3,0,0,2,3
2010,3467.2066,1,1,2,1,7,1,3,2,2,1,3,2,2,0,1,4,2,1,1,2,3
2010,3367.86598,1,1,2,1,7,4,2,1,3,2,3,3,2,0,1,4,2,0,0,2,1
2010,33162.9941,2,1,2,1,6,4,2,1,2,1,1,1,2,0,1,4,2,0,0,2,1
2010,3427.6764,2,2,1,4,3,1,6,4,3,1,3,2,2,0,1,4,2,0,0,2,4
2010,3643.88974,2,1,2,1,5,1,5,5,2,1,5,1,2,0,2,5,3,0,0,2,3
2010,2159.4976,1,1,2,1,6,5,2,3,3,1,4,1,3,5,1,4,2,0,0,2,1
2010,3652.45258,2,1,1,4,6,5,5,5,3,1,4,1,1,1,1,2,1,1,2,1,2
2010,2024.10364,1,1,2,1,6,2,7,2,3,1,4,2,1,3,1,3,1,0,0,2,3
2010,2255.60434,2,1,2,1,6,2,5,1,4,2,4,1,2,0,1,4,2,1,2,2,1
2010,2255.42336,2,1,2,1,7,2,3,0,1,2,5,1,2,0,1,4,2,1,1,2,3
2010,5353.89123,2,2,2,2,5,1,88,5,3,1,3,1,2,0,1,4,2,0,0,2,1
2010,3173.44472,1,1,2,1,4,1,4,4,3,1,2,1,2,0,1,4,2,0,0,2,1
